,弹幕内容
380,無限大な夢のあとの 何もない世の中じゃ
381,还是我的眼睛快哈哈哈
382,86上山了！！！！！！
383,逮虾户
384,带你老妈飞
385,哈哈哈0.5好强
386,真相永远只有一个！
387,来了来了！
388,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
389,安徽科技学院报道
390,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
391,嘿嘿嘿
392,嘿嘿嘿（红红红）
393,敬礼！！！！！！！！！！！！！！！！！！
394,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
395,中国加油，武汉加油！！！！！！！
396,进军！！！！！！！！！
397,进军！！！
398,敬礼！！！！！
399,全体起立！！！！！
400,自动变色
401,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
402,恭喜你发现宝藏！
403,全体起立
404,前方高能！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
405,全体起立！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
406,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
407,FPX牛逼！！！！
408,卡拉曼达报道
409,FPX牛逼！！！！！
410,二刷
411,我检讨，我不知道啊
412,车门焊死，谁敢下车
413,太愣了
414,转的太愣了
415,钉钉时代前来观看
416,吸吸~冯提莫加油！！！
417,不要刷日期！！！！！！！！
418,4.3
419,万一夹层没反过来呢
420,明年jo行吗~
421,求口红色号
422,表白梦姐
423,我是麻花
424,红起来
425,补课
426,上个厕所，一会回来
427,鬼畜区
428,排面
429,排面
430,呵呵红红火火恍恍惚惚哈哈哈哈哈哈哈
431,我是麻瓜
432,楚云飞
433,我检讨，我在写作业，也不知道
434,我检讨，玩手机了，却没有看b站
435,敬礼
436,吸
437,狗哥！
438,为了部落！
439,骑兵连冲锋这个真的看不得，画面感太强，泪止不住
440,变红
441,此生无悔入华夏
442,云飞兄，别来无恙
443,unsw来报道
444,把老子的地板车拉来！
445,魔兽世界当时太烧硬件了，我都不敢玩
446,逮虾户！
447,非人一中
448,！
449,变红
450,1.25真香
451,红
452,啊啊啊啊啊啊啊啊啊啊啊
453,！
454,0.5倍，绝了
455,来了
456,看的你脑淤血
457,4.3补课
458,你们别打了
459,我于杀戮之中绽放，亦如黎明中的花朵
460,从前，我求死不能，如今，我赐死不倦
461,我喜欢的东西不多，这片蓝天，这片土地，还有这条蠢蜥蜴
462,补课补课，哈哈哈
463,你说他是云飞，我偏说他是奉先
464,2333
465,小b站实现了很多人的梦想吧
466,中国红
467,我红了
468,4.3的姐姐笑了
469,好听的啊
470,不知道第几遍
471,吸
472,あなたの指先が躍動する電光は私の生涯の不変の信仰です。
473,他又瞪我
474,瞅你咋地
475,哭了哭了哭了
476,嘤嘤嘤
477,新兰工藤新一
478,工藤新一是我男朋友
479,！
480,顶
481,来了，变色
482,此生无悔入华夏
483,老哥哥老姐姐们太酷了！
484,此生无悔入华夏，来世再生种花家
485,剑已出鞘
486,弗雷尔卓德！
487,我检讨，我在陪我女朋友
488,卡塞尔等等我
489,补课
490,4.3补课
491,红色
492,红了
493,☆☆☆☆☆
494,前面的，这不是原唱啊，，，
495,第二遍
496,为了部落
497,全体起立
498,变红
499,变色
500,电视看完电脑看
501,牛逼！！！
502,4月7开学
503,声音不够尖
504,gai爷NP
505,雾都
506,4.3高考延期到七月了
507,说实话我都不认得
508,多给梦姐镜头
509,好像还没我高
510,为了铁炉堡
511,镇站神曲
512,没气了
513,縢源拓海
514,补课补课
515,4.3补课
516,我鲁鲁修殿下在哪里
517,4.3目前没人比我迟
518,为了部落
519,真的好可爱啊
520,这波回忆杀给的我是猝不及防
521,致敬祖国
522,全体起立
523,逢敌必亮剑
524,开炮～开炮～开炮～
525,云飞兄别来无恙啊
526,西北第一快枪手楚云飞
527,艾欧尼亚的王者们出征吧
528,排面
529,B站人士的嘴快
530,快来拨打热线只要998
531,当场泪目
532,加油
533,加油
534,嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻
535,补课来啦！
536,变红
537,为了瓦王
538,我头戴花
539,补课
540,6666
541,发现宝藏
542,发现宝藏站了
543,那个小哥好帅
544,66666
545,河北大学报道
546,霜之哀伤
547,二刷我感觉还是不错
548,头皮发麻
549,艾欧里亚，昂扬不灭
550,西华大学报道！
551,啊啊啊啊啊啊GAI
552,补课~~~
553,被语文老师推荐的
554,浙江工业大学
555,中国红
556,瞅你咋地
557,逮虾户
558,孝子屠爹剑
559,柯南
560,4.3补课
561,那天真不该泡妹子去。。。
562,我上头了
563,骑兵连，进攻！！！
564,开炮！！
565,新几次哇，以资莫，嘿豆次！！！
566,云飞兄，666
567,新几次哇，以资莫，嘿豆次！！！
568,新几次哇，以资莫，嘿豆次！！！
569,新几次哇，以资莫，嘿豆次！！！
570,新几次哇，以资莫，嘿豆次！！！
571,新几次哇，以资莫，嘿豆次！！！
572,新几次哇，以资莫，嘿豆次！！！
573,新几次哇，以资莫，嘿豆次！！！
574,新几次哇，以资莫，嘿豆次！！！
575,新几次哇，以资莫，嘿豆次！！！
576,新几次哇，以资莫，嘿豆次！！！
577,开口跪
578,艾欧尼亚，昂扬不灭！！！！！
579,二刷
580,补课
581,为了联盟！
582,怎么被饿瘦了！！！多吃点！！！
583,铜仁一中报道！
584,朱老师估计太紧张了，一直看提词板
585,此生无悔入华夏，来世还在种花家
586,补课
587,4.3第12刷，你们都靠边站
588,此生无悔入华夏
589,此生无悔入华夏
